REF_AREA,COUNTERPART_AREA,weight
AGO,BRN,0.00010699666248581511
AGO,BTN,1.5454631190505217e-06
AGO,BWA,0.00011212020869571086
AGO,CAF,2.3814264694698278e-05
AGO,CAN,0.006513170444567243
AGO,CHE,0.015672234552259308
AGO,CHL,0.001792663633311628
AGO,CHN,0.01393449675853945
AGO,CIV,0.00027249122210096525
AGO,CMR,0.00027750849946217397
AGO,COD,1.4631686687012698e-05
AGO,COG,0.003330997792466463
AGO,COL,0.00119987974460053
AGO,COM,1.672109293362129e-05
AGO,CPV,5.715310319363005e-05
AGO,CRI,0.00022933675731531342
AGO,CUB,7.417620416114898e-05
AGO,CYM,0.0001450907580747082
AGO,CYP,0.0015935338875318775
AGO,CZE,0.0013584476568360509
AGO,DEU,0.019738299266277456
AGO,DJI,6.248553525042961e-05
AGO,DMA,1.3339296805557168e-05
AGO,DNK,0.004731730591083699
AGO,DOM,0.00021481645206764625
AGO,DZA,8.883783602201852e-05
AGO,ECU,0.000430334424610646
AGO,EGY,0.001718265396641882
AGO,ERI,7.765660025191244e-06
AGO,ESP,0.017527503136331748
AGO,EST,0.000250364842693661
AGO,ETH,0.0001971210454285366
AGO,FIN,0.0022125985007453454
AGO,FJI,5.352498975134108e-05
AGO,FRA,0.023753649819851286
AGO,FRO,7.172617768059369e-05
AGO,GAB,0.0006529221970717125
AGO,GBR,0.06454265859110278
AGO,GEO,0.00020091677880741449
AGO,GHA,0.0005425924906616125
AGO,GIN,7.552391957723026e-05
AGO,GMB,1.2484581202972635e-05
AGO,GNB,7.648983402663682e-06
AGO,GNQ,3.9792206057604113e-05
AGO,GRC,0.0016076066585044035
AGO,GRD,4.264813571793837e-06
AGO,GTM,0.0001622420389937363
AGO,GUY,0.00010735764790480883
AGO,HKG,0.008928944576228434
AGO,HND,0.00010232685869685987
AGO,HRV,0.0054028740612622516
AGO,HTI,3.932860364039365e-06
AGO,HUN,0.001491418653569774
AGO,IDN,0.0026945660739711697
AGO,IND,0.006778397770897642
AGO,IRL,0.01035674963793749
AGO,IRN,0.0004025880299220025
AGO,IRQ,0.00033913584985207224
AGO,ISL,0.0002061296127613102
AGO,ISR,0.0019203929464727395
AGO,ITA,0.011633477463095796
AGO,JAM,0.00019762280968316215
