REF_AREA,TIME_PERIOD,Degree,Trend,Cycle
BRB,2023,0.805,0.7956330922186124,0.009366907781387601
BRB,2024,0.815,0.813331744210202,0.0016682557897979011
BRN,2005,0.195,0.21414557018404717,-0.019145570184047167
BRN,2006,0.225,0.23338045019886033,-0.008380450198860329
BRN,2007,0.265,0.2495520389842259,0.015447961015774114
BRN,2008,0.275,0.2582561732788787,0.016743826721121347
BRN,2009,0.28,0.25756036358407736,0.02243963641592267
BRN,2010,0.22,0.24821113267646003,-0.028211132676460027
BRN,2011,0.23,0.23454534515921255,-0.004545345159212538
BRN,2012,0.225,0.216386084407287,0.008613915592713017
BRN,2013,0.225,0.1928291785701615,0.032170821429838514
BRN,2014,0.165,0.16434868229214813,0.0006513177078518728
BRN,2015,0.11,0.13656598164633335,-0.02656598164633335
BRN,2016,0.11,0.11520667353905982,-0.0052066735390598196
BRN,2017,0.09,0.10174579781325689,-0.011745797813256895
BRN,2018,0.09,0.09682532654560444,-0.006825326545604443
BRN,2019,0.105,0.0992079041626612,0.005792095837338793
BRN,2020,0.11,0.10656412284368921,0.0034358771563107876
BRN,2021,0.115,0.11749131010192466,-0.0024913101019246597
BRN,2022,0.12,0.1311365337956135,-0.011136533795613496
BRN,2023,0.175,0.1462482521666937,0.02875174783330628
BRN,2024,0.15,0.15979307804980514,-0.009793078049805143
BTN,2005,0.02,0.022184388126490293,-0.002184388126490293
BTN,2006,0.02,0.020361021067698538,-0.0003610210676985373
BTN,2007,0.025,0.01818815190866834,0.00681184809133166
BTN,2008,0.015,0.015258515178329496,-0.0002585151783294961
BTN,2009,0.01,0.012254741100224852,-0.002254741100224852
BTN,2010,0.01,0.009818097469364549,0.00018190253063545166
BTN,2011,0.005,0.008229093504722753,-0.003229093504722753
BTN,2012,0.005,0.0077973428301752945,-0.0027973428301752944
BTN,2013,0.015,0.008315804108842367,0.0066841958911576325
BTN,2014,0.01,0.009129861151016116,0.0008701388489838844
BTN,2015,0.01,0.010654369109573911,-0.0006543691095739108
BTN,2016,0.01,0.013443405353230539,-0.0034434053532305386
BTN,2017,0.015,0.017946348193168964,-0.002946348193168965
